timestamp,station_id,station_code,station_name,line_name,hour,minute,day_of_week,is_weekend,capacity,inflow_ppm,outflow_ppm,line_delay_min,density_pct,target_inflow_15m,target_inflow_30m,target_inflow_60m,target_congestion_level
2026-08-25 08:00:00,1,MTA-01,NYC MTA - 42 St-Grd Cntrl,NYC Subway Line,8,0,1,0,3000,5,5,0,35.0,5,5,5,NORMAL
2026-08-25 12:00:00,1,MTA-01,NYC MTA - 42 St-Grd Cntrl,NYC Subway Line,12,0,1,0,3000,7,11,0,33.0,7,7,8,NORMAL
2026-08-25 16:00:00,1,MTA-01,NYC MTA - 42 St-Grd Cntrl,NYC Subway Line,16,0,1,0,3000,7,9,0,34.0,7,7,8,NORMAL
2026-08-25 20:00:00,1,MTA-01,NYC MTA - 42 St-Grd Cntrl,NYC Subway Line,20,0,1,0,3000,9,12,0,33.5,9,9,10,NORMAL
2026-08-25 00:00:00,2,MTA-02,NYC MTA - 59 St,NYC Subway Line,0,0,1,0,2200,5,5,0,35.0,5,5,5,NORMAL
2026-08-25 04:00:00,2,MTA-02,NYC MTA - 59 St,NYC Subway Line,4,0,1,0,2200,5,5,0,35.0,5,5,5,NORMAL
2026-08-25 08:00:00,2,MTA-02,NYC MTA - 59 St,NYC Subway Line,8,0,1,0,2200,5,5,0,35.0,5,5,5,NORMAL
2026-08-25 12:00:00,2,MTA-02,NYC MTA - 59 St,NYC Subway Line,12,0,1,0,2200,5,5,0,35.0,5,5,5,NORMAL
2026-08-25 16:00:00,2,MTA-02,NYC MTA - 59 St,NYC Subway Line,16,0,1,0,2200,5,5,0,35.0,5,5,5,NORMAL
2026-08-25 20:00:00,2,MTA-02,NYC MTA - 59 St,NYC Subway Line,20,0,1,0,2200,5,5,0,35.0,5,5,5,NORMAL
2026-08-25 07:00:00,9,SEOUL-09,Seoul Metro - Seoul Station,Line 1,7,0,1,0,3200,30,15,0,45.6,31,33,34,NORMAL
2026-08-25 08:00:00,9,SEOUL-09,Seoul Metro - Seoul Station,Line 1,8,0,1,0,3200,68,48,0,47.5,71,74,78,NORMAL
2026-08-25 09:00:00,9,SEOUL-09,Seoul Metro - Seoul Station,Line 1,9,0,1,0,3200,54,56,0,39.2,56,59,62,NORMAL
2026-08-25 18:00:00,9,SEOUL-09,Seoul Metro - Seoul Station,Line 1,18,0,1,0,3200,66,70,0,38.5,69,72,75,NORMAL
2026-08-25 19:00:00,9,SEOUL-09,Seoul Metro - Seoul Station,Line 1,19,0,1,0,3200,47,51,0,38.5,49,51,54,NORMAL
2026-08-25 07:00:00,10,SEOUL-010,Seoul Metro - Gangnam,Line 2,7,0,1,0,3200,20,35,0,34.4,21,22,23,NORMAL
2026-08-25 08:00:00,10,SEOUL-010,Seoul Metro - Gangnam,Line 2,8,0,1,0,3200,51,114,0,16.4,53,56,58,NORMAL
2026-08-25 09:00:00,10,SEOUL-010,Seoul Metro - Gangnam,Line 2,9,0,1,0,3200,40,98,0,18.2,42,44,46,NORMAL
2026-08-25 18:00:00,10,SEOUL-010,Seoul Metro - Gangnam,Line 2,18,0,1,0,3200,107,51,0,61.0,112,117,123,MODERATE
2026-08-25 19:00:00,10,SEOUL-010,Seoul Metro - Gangnam,Line 2,19,0,1,0,3200,81,35,0,57.2,85,89,93,NORMAL
2026-08-25 08:15:00,11,TFL-01,TfL Underground - Waterloo,Jubilee Line,8,15,1,0,2800,22,14,0,40.9,23,24,25,NORMAL
2026-08-25 08:30:00,11,TFL-01,TfL Underground - Waterloo,Jubilee Line,8,30,1,0,2800,27,19,0,40.9,28,29,31,NORMAL
2026-08-25 08:15:00,11,TFL-01,TfL Underground - King's Cross St. Pancras,Victoria Line,8,15,1,0,2800,34,32,0,38.7,35,37,39,NORMAL
2026-08-25 18:15:00,11,TFL-01,TfL Underground - Oxford Circus,Central Line,18,15,1,0,2800,41,20,0,45.5,43,45,47,NORMAL
2026-08-25 08:12:00,12,DB-01,Deutsche Bahn - Frankfurt Hbf,DB Corridor (ICE 574),8,12,1,0,2500,65,55,12,68.0,68,71,74,MODERATE
2026-08-25 08:45:00,12,DB-01,Deutsche Bahn - Köln Hbf,DB Corridor (RE 1),8,45,1,0,2500,65,55,3,54.5,68,71,74,NORMAL
2026-08-25 17:30:00,12,DB-01,Deutsche Bahn - München Hbf,DB Corridor (S 3),17,30,1,0,2500,65,55,12,68.0,68,71,74,MODERATE
2026-08-25 18:10:00,12,DB-01,Deutsche Bahn - Berlin Hbf,DB Corridor (ICE 720),18,10,1,0,2500,65,55,5,57.5,68,71,74,NORMAL
2026-08-24 11:00:00,1,RED-01,Central Terminal,Red Line,11,0,0,0,3000,75,46,0,9.56,78,82,86,NORMAL
2026-08-24 11:00:00,2,RED-02,Financial Plaza,Red Line,11,0,0,0,2500,26,17,8,4.24,27,28,29,NORMAL
2026-08-24 11:00:00,3,RED-03,Tech Hub North,Red Line,11,0,0,0,2200,38,21,0,9.23,39,41,43,NORMAL
2026-08-24 11:00:00,4,RED-04,University Square,Red Line,11,0,0,0,2000,87,58,0,14.48,91,95,100,NORMAL
2026-08-24 11:00:00,5,RED-05,Arts District,Red Line,11,0,0,0,1800,19,27,0,5.26,19,20,21,NORMAL
2026-08-24 11:00:00,6,RED-06,Medical Center,Red Line,11,0,0,0,2000,29,23,3,4.23,30,31,33,NORMAL
2026-08-24 11:00:00,7,RED-07,North Gate,Red Line,11,0,0,0,1600,28,24,0,6.63,29,30,32,NORMAL
2026-08-24 11:00:00,8,RED-08,Suburban North,Red Line,11,0,0,0,1500,21,28,0,5.63,22,23,24,NORMAL
2026-08-24 11:00:00,9,BLU-01,West Port,Blue Line,11,0,0,0,2000,31,38,0,5.23,32,34,35,NORMAL
2026-08-24 11:00:00,10,BLU-02,Maritime Dock,Blue Line,11,0,0,0,1800,23,15,0,4.88,24,25,26,NORMAL
2026-08-24 11:00:00,11,BLU-03,Central Terminal,Blue Line,11,0,0,0,3000,47,55,0,3.71,49,51,54,NORMAL
2026-08-24 11:00:00,12,BLU-04,Civic Center,Blue Line,11,0,0,0,2100,22,37,0,4.28,23,24,25,NORMAL
2026-08-24 11:00:00,13,BLU-05,University Square,Blue Line,11,0,0,0,2000,87,48,0,21.66,91,95,100,NORMAL
2026-08-24 11:00:00,14,BLU-06,Innovation Park,Blue Line,11,0,0,0,2400,22,38,0,4.51,23,24,25,NORMAL
2026-08-24 11:00:00,15,BLU-07,Stadium Arena,Blue Line,11,0,0,0,3500,27,35,0,3.04,28,29,31,NORMAL
2026-08-24 11:00:00,16,BLU-08,East terminus,Blue Line,11,0,0,0,1500,51,42,0,5.67,53,56,58,NORMAL
2026-08-24 11:15:00,1,RED-01,Central Terminal,Red Line,11,15,0,0,3000,91,94,0,3.91,95,100,104,NORMAL
2026-08-24 11:15:00,2,RED-02,Financial Plaza,Red Line,11,15,0,0,2500,50,17,0,15.18,52,55,57,NORMAL
2026-08-24 11:15:00,3,RED-03,Tech Hub North,Red Line,11,15,0,0,2200,45,29,0,6.62,47,49,51,NORMAL
2026-08-24 11:15:00,4,RED-04,University Square,Red Line,11,15,0,0,2000,87,64,0,12.43,91,95,100,NORMAL
2026-08-24 11:15:00,5,RED-05,Arts District,Red Line,11,15,0,0,1800,37,43,0,5.04,38,40,42,NORMAL
2026-08-24 11:15:00,6,RED-06,Medical Center,Red Line,11,15,0,0,2000,90,10,0,40.48,94,99,103,NORMAL
2026-08-24 11:15:00,7,RED-07,North Gate,Red Line,11,15,0,0,1600,37,26,0,7.84,38,40,42,NORMAL
2026-08-24 11:15:00,8,RED-08,Suburban North,Red Line,11,15,0,0,1500,41,56,0,6.7,43,45,47,NORMAL
2026-08-24 11:15:00,9,BLU-01,West Port,Blue Line,11,15,0,0,2000,39,45,0,5.18,40,42,44,NORMAL
2026-08-24 11:15:00,10,BLU-02,Maritime Dock,Blue Line,11,15,0,0,1800,30,29,0,4.99,31,33,34,NORMAL
2026-08-24 11:15:00,11,BLU-03,Central Terminal,Blue Line,11,15,0,0,3000,75,65,0,3.14,78,82,86,NORMAL
2026-08-24 11:15:00,12,BLU-04,Civic Center,Blue Line,11,15,0,0,2100,54,33,0,9.76,56,59,62,NORMAL
2026-08-24 11:15:00,13,BLU-05,University Square,Blue Line,11,15,0,0,2000,99,62,0,21.36,103,108,113,NORMAL
2026-08-24 11:15:00,14,BLU-06,Innovation Park,Blue Line,11,15,0,0,2400,39,46,0,3.97,40,42,44,NORMAL
2026-08-24 11:15:00,15,BLU-07,Stadium Arena,Blue Line,11,15,0,0,3500,47,36,0,2.57,49,51,54,NORMAL
2026-08-24 11:15:00,16,BLU-08,East terminus,Blue Line,11,15,0,0,1500,26,28,0,6.42,27,28,29,NORMAL
2026-08-24 11:30:00,1,RED-01,Central Terminal,Red Line,11,30,0,0,3000,85,99,0,2.69,89,93,97,NORMAL
2026-08-24 11:30:00,2,RED-02,Financial Plaza,Red Line,11,30,0,0,2500,49,26,0,9.44,51,53,56,NORMAL
2026-08-24 11:30:00,3,RED-03,Tech Hub North,Red Line,11,30,0,0,2200,48,26,0,11.1,50,52,55,NORMAL
2026-08-24 11:30:00,4,RED-04,University Square,Red Line,11,30,0,0,2000,84,84,0,4.24,88,92,96,NORMAL
2026-08-24 11:30:00,5,RED-05,Arts District,Red Line,11,30,0,0,1800,59,35,0,13.61,61,64,67,NORMAL
2026-08-24 11:30:00,6,RED-06,Medical Center,Red Line,11,30,0,0,2000,23,39,0,5.74,24,25,26,NORMAL
2026-08-24 11:30:00,7,RED-07,North Gate,Red Line,11,30,0,0,1600,65,20,0,32.03,68,71,74,NORMAL
2026-08-24 11:30:00,8,RED-08,Suburban North,Red Line,11,30,0,0,1500,37,54,0,5.41,38,40,42,NORMAL
2026-08-24 11:30:00,9,BLU-01,West Port,Blue Line,11,30,0,0,2000,48,45,8,5.28,50,52,55,NORMAL
2026-08-24 11:30:00,10,BLU-02,Maritime Dock,Blue Line,11,30,0,0,1800,19,28,0,4.59,19,20,21,NORMAL
2026-08-24 11:30:00,11,BLU-03,Central Terminal,Blue Line,11,30,0,0,3000,108,98,0,2.83,113,118,124,NORMAL
2026-08-24 11:30:00,12,BLU-04,Civic Center,Blue Line,11,30,0,0,2100,19,20,0,4.02,19,20,21,NORMAL
2026-08-24 11:30:00,13,BLU-05,University Square,Blue Line,11,30,0,0,2000,109,66,0,22.42,114,119,125,NORMAL
2026-08-24 11:30:00,14,BLU-06,Innovation Park,Blue Line,11,30,0,0,2400,56,49,0,4.42,58,61,64,NORMAL
2026-08-24 11:30:00,15,BLU-07,Stadium Arena,Blue Line,11,30,0,0,3500,49,44,0,3.41,51,53,56,NORMAL
2026-08-24 11:30:00,16,BLU-08,East terminus,Blue Line,11,30,0,0,1500,63,58,0,6.66,66,69,72,NORMAL
2026-08-24 11:45:00,1,RED-01,Central Terminal,Red Line,11,45,0,0,3000,112,115,0,3.86,117,123,128,NORMAL
2026-08-24 11:45:00,2,RED-02,Financial Plaza,Red Line,11,45,0,0,2500,50,46,0,4.58,52,55,57,NORMAL
2026-08-24 11:45:00,3,RED-03,Tech Hub North,Red Line,11,45,0,0,2200,48,22,0,9.54,50,52,55,NORMAL
2026-08-24 11:45:00,4,RED-04,University Square,Red Line,11,45,0,0,2000,74,58,15,6.86,77,81,85,NORMAL
2026-08-24 11:45:00,5,RED-05,Arts District,Red Line,11,45,0,0,1800,60,43,0,10.17,63,66,69,NORMAL
2026-08-24 11:45:00,6,RED-06,Medical Center,Red Line,11,45,0,0,2000,40,24,0,7.45,42,44,46,NORMAL
2026-08-24 11:45:00,7,RED-07,North Gate,Red Line,11,45,0,0,1600,25,52,0,5.39,26,27,28,NORMAL
2026-08-24 11:45:00,8,RED-08,Suburban North,Red Line,11,45,0,0,1500,40,55,0,6.31,42,44,46,NORMAL
2026-08-24 11:45:00,9,BLU-01,West Port,Blue Line,11,45,0,0,2000,21,55,0,5.41,22,23,24,NORMAL
2026-08-24 11:45:00,10,BLU-02,Maritime Dock,Blue Line,11,45,0,0,1800,53,27,0,13.78,55,58,60,NORMAL
2026-08-24 11:45:00,11,BLU-03,Central Terminal,Blue Line,11,45,0,0,3000,71,114,0,3.14,74,78,81,NORMAL
2026-08-24 11:45:00,12,BLU-04,Civic Center,Blue Line,11,45,0,0,2100,51,53,0,3.88,53,56,58,NORMAL
2026-08-24 11:45:00,13,BLU-05,University Square,Blue Line,11,45,0,0,2000,97,88,0,5.66,101,106,111,NORMAL
2026-08-24 11:45:00,14,BLU-06,Innovation Park,Blue Line,11,45,0,0,2400,41,20,0,10.07,43,45,47,NORMAL
2026-08-24 11:45:00,15,BLU-07,Stadium Arena,Blue Line,11,45,0,0,3500,57,42,0,4.14,59,62,65,NORMAL
2026-08-24 11:45:00,16,BLU-08,East terminus,Blue Line,11,45,0,0,1500,53,35,0,14.07,55,58,60,NORMAL
2026-08-24 12:00:00,1,RED-01,Central Terminal,Red Line,12,0,0,0,3000,143,79,0,19.88,150,157,164,NORMAL
2026-08-24 12:00:00,2,RED-02,Financial Plaza,Red Line,12,0,0,0,2500,61,53,0,3.25,64,67,70,NORMAL
2026-08-24 12:00:00,3,RED-03,Tech Hub North,Red Line,12,0,0,0,2200,54,32,0,8.12,56,59,62,NORMAL
2026-08-24 12:00:00,4,RED-04,University Square,Red Line,12,0,0,0,2000,123,71,0,30.04,129,135,141,NORMAL
2026-08-24 12:00:00,5,RED-05,Arts District,Red Line,12,0,0,0,1800,26,51,0,5.17,27,28,29,NORMAL
2026-08-24 12:00:00,6,RED-06,Medical Center,Red Line,12,0,0,0,2000,64,51,0,5.36,67,70,73,NORMAL
2026-08-24 12:00:00,7,RED-07,North Gate,Red Line,12,0,0,0,1600,33,51,12,6.53,34,36,37,NORMAL
2026-08-24 12:00:00,8,RED-08,Suburban North,Red Line,12,0,0,0,1500,63,25,8,27.8,66,69,72,NORMAL
2026-08-24 12:00:00,9,BLU-01,West Port,Blue Line,12,0,0,0,2000,68,24,0,20.79,71,74,78,NORMAL
2026-08-24 12:00:00,10,BLU-02,Maritime Dock,Blue Line,12,0,0,0,1800,50,64,0,4.97,52,55,57,NORMAL
2026-08-24 12:00:00,11,BLU-03,Central Terminal,Blue Line,12,0,0,0,3000,93,86,0,3.76,97,102,106,NORMAL
2026-08-24 12:00:00,12,BLU-04,Civic Center,Blue Line,12,0,0,0,2100,53,52,0,4.71,55,58,60,NORMAL
2026-08-24 12:00:00,13,BLU-05,University Square,Blue Line,12,0,0,0,2000,113,126,0,4.28,118,124,129,NORMAL
2026-08-24 12:00:00,14,BLU-06,Innovation Park,Blue Line,12,0,0,0,2400,41,29,0,4.59,43,45,47,NORMAL
2026-08-24 12:00:00,15,BLU-07,Stadium Arena,Blue Line,12,0,0,0,3500,45,37,0,2.97,47,49,51,NORMAL
2026-08-24 12:00:00,16,BLU-08,East terminus,Blue Line,12,0,0,0,1500,44,42,0,5.65,46,48,50,NORMAL
2026-08-24 12:15:00,1,RED-01,Central Terminal,Red Line,12,15,0,0,3000,134,110,0,7.51,140,147,154,NORMAL
2026-08-24 12:15:00,2,RED-02,Financial Plaza,Red Line,12,15,0,0,2500,81,26,0,21.56,85,89,93,NORMAL
2026-08-24 12:15:00,3,RED-03,Tech Hub North,Red Line,12,15,0,0,2200,75,27,0,23.87,78,82,86,NORMAL
2026-08-24 12:15:00,4,RED-04,University Square,Red Line,12,15,0,0,2000,83,79,0,4.36,87,91,95,NORMAL
2026-08-24 12:15:00,5,RED-05,Arts District,Red Line,12,15,0,0,1800,81,67,0,7.85,85,89,93,NORMAL
2026-08-24 12:15:00,6,RED-06,Medical Center,Red Line,12,15,0,0,2000,36,53,0,5.05,37,39,41,NORMAL
2026-08-24 12:15:00,7,RED-07,North Gate,Red Line,12,15,0,0,1600,55,48,0,7.48,57,60,63,NORMAL
2026-08-24 12:15:00,8,RED-08,Suburban North,Red Line,12,15,0,0,1500,40,43,0,5.51,42,44,46,NORMAL
2026-08-24 12:15:00,9,BLU-01,West Port,Blue Line,12,15,0,0,2000,62,58,0,4.63,65,68,71,NORMAL
2026-08-24 12:15:00,10,BLU-02,Maritime Dock,Blue Line,12,15,0,0,1800,69,54,0,8.37,72,75,79,NORMAL
2026-08-24 12:15:00,11,BLU-03,Central Terminal,Blue Line,12,15,0,0,3000,128,91,0,13.97,134,140,147,NORMAL
2026-08-24 12:15:00,12,BLU-04,Civic Center,Blue Line,12,15,0,0,2100,59,61,0,3.99,61,64,67,NORMAL
2026-08-24 12:15:00,13,BLU-05,University Square,Blue Line,12,15,0,0,2000,138,90,0,26.98,144,151,158,NORMAL
2026-08-24 12:15:00,14,BLU-06,Innovation Park,Blue Line,12,15,0,0,2400,40,19,0,8.87,42,44,46,NORMAL
2026-08-24 12:15:00,15,BLU-07,Stadium Arena,Blue Line,12,15,0,0,3500,27,69,5,2.6,28,29,31,NORMAL
2026-08-24 12:15:00,16,BLU-08,East terminus,Blue Line,12,15,0,0,1500,52,61,0,5.42,54,57,59,NORMAL
2026-08-24 12:30:00,1,RED-01,Central Terminal,Red Line,12,30,0,0,3000,142,125,0,6.09,149,156,163,NORMAL
2026-08-24 12:30:00,2,RED-02,Financial Plaza,Red Line,12,30,0,0,2500,33,41,0,3.63,34,36,37,NORMAL
2026-08-24 12:30:00,3,RED-03,Tech Hub North,Red Line,12,30,0,0,2200,33,75,0,5.07,34,36,37,NORMAL
2026-08-24 12:30:00,4,RED-04,University Square,Red Line,12,30,0,0,2000,121,140,0,5.97,127,133,139,NORMAL
2026-08-24 12:30:00,5,RED-05,Arts District,Red Line,12,30,0,0,1800,72,53,0,11.41,75,79,82,NORMAL
2026-08-24 12:30:00,6,RED-06,Medical Center,Red Line,12,30,0,0,2000,28,27,0,4.5,29,30,32,NORMAL
2026-08-24 12:30:00,7,RED-07,North Gate,Red Line,12,30,0,0,1600,41,46,0,5.57,43,45,47,NORMAL
2026-08-24 12:30:00,8,RED-08,Suburban North,Red Line,12,30,0,0,1500,45,45,0,7.84,47,49,51,NORMAL
2026-08-24 12:30:00,9,BLU-01,West Port,Blue Line,12,30,0,0,2000,66,80,0,4.13,69,72,75,NORMAL
2026-08-24 12:30:00,10,BLU-02,Maritime Dock,Blue Line,12,30,0,0,1800,54,44,0,5.95,56,59,62,NORMAL
2026-08-24 12:30:00,11,BLU-03,Central Terminal,Blue Line,12,30,0,0,3000,127,83,0,15.96,133,139,146,NORMAL
2026-08-24 12:30:00,12,BLU-04,Civic Center,Blue Line,12,30,0,0,2100,44,27,0,7.32,46,48,50,NORMAL
2026-08-24 12:30:00,13,BLU-05,University Square,Blue Line,12,30,0,0,2000,128,128,0,4.94,134,140,147,NORMAL
2026-08-24 12:30:00,14,BLU-06,Innovation Park,Blue Line,12,30,0,0,2400,41,66,0,3.35,43,45,47,NORMAL
2026-08-24 12:30:00,15,BLU-07,Stadium Arena,Blue Line,12,30,0,0,3500,53,75,0,2.66,55,58,60,NORMAL
2026-08-24 12:30:00,16,BLU-08,East terminus,Blue Line,12,30,0,0,1500,80,45,0,24.62,84,88,92,NORMAL
2026-08-24 12:45:00,1,RED-01,Central Terminal,Red Line,12,45,0,0,3000,85,73,0,3.5,89,93,97,NORMAL
2026-08-24 12:45:00,2,RED-02,Financial Plaza,Red Line,12,45,0,0,2500,83,71,0,4.98,87,91,95,NORMAL
2026-08-24 12:45:00,3,RED-03,Tech Hub North,Red Line,12,45,0,0,2200,69,36,0,12.79,72,75,79,NORMAL
2026-08-24 12:45:00,4,RED-04,University Square,Red Line,12,45,0,0,2000,135,118,0,9.85,141,148,155,NORMAL
2026-08-24 12:45:00,5,RED-05,Arts District,Red Line,12,45,0,0,1800,42,60,0,5.65,44,46,48,NORMAL
2026-08-24 12:45:00,6,RED-06,Medical Center,Red Line,12,45,0,0,2000,73,35,0,15.49,76,80,83,NORMAL
2026-08-24 12:45:00,7,RED-07,North Gate,Red Line,12,45,0,0,1600,60,70,0,5.72,63,66,69,NORMAL
2026-08-24 12:45:00,8,RED-08,Suburban North,Red Line,12,45,0,0,1500,163,24,0,74.54,171,179,187,MODERATE
2026-08-24 12:45:00,9,BLU-01,West Port,Blue Line,12,45,0,0,2000,33,55,0,4.16,34,36,37,NORMAL
2026-08-24 12:45:00,10,BLU-02,Maritime Dock,Blue Line,12,45,0,0,1800,55,65,0,4.58,57,60,63,NORMAL
2026-08-24 12:45:00,11,BLU-03,Central Terminal,Blue Line,12,45,0,0,3000,111,132,0,3.84,116,122,127,NORMAL
2026-08-24 12:45:00,12,BLU-04,Civic Center,Blue Line,12,45,0,0,2100,85,60,0,13.78,89,93,97,NORMAL
2026-08-24 12:45:00,13,BLU-05,University Square,Blue Line,12,45,0,0,2000,109,136,0,4.82,114,119,125,NORMAL
2026-08-24 12:45:00,14,BLU-06,Innovation Park,Blue Line,12,45,0,0,2400,64,82,0,3.48,67,70,73,NORMAL
2026-08-24 12:45:00,15,BLU-07,Stadium Arena,Blue Line,12,45,0,0,3500,76,55,0,4.88,79,83,87,NORMAL
2026-08-24 12:45:00,16,BLU-08,East terminus,Blue Line,12,45,0,0,1500,79,50,0,20.47,82,86,90,NORMAL
2026-08-24 13:00:00,1,RED-01,Central Terminal,Red Line,13,0,0,0,3000,121,137,0,3.03,127,133,139,NORMAL
2026-08-24 13:00:00,2,RED-02,Financial Plaza,Red Line,13,0,0,0,2500,79,74,0,4.28,82,86,90,NORMAL
2026-08-24 13:00:00,3,RED-03,Tech Hub North,Red Line,13,0,0,0,2200,51,72,0,4.08,53,56,58,NORMAL
2026-08-24 13:00:00,4,RED-04,University Square,Red Line,13,0,0,0,2000,107,95,0,5.64,112,117,123,NORMAL
2026-08-24 13:00:00,5,RED-05,Arts District,Red Line,13,0,0,0,1800,66,31,0,18.31,69,72,75,NORMAL
2026-08-24 13:00:00,6,RED-06,Medical Center,Red Line,13,0,0,0,2000,84,25,0,31.02,88,92,96,NORMAL
2026-08-24 13:00:00,7,RED-07,North Gate,Red Line,13,0,0,0,1600,62,67,0,7.15,65,68,71,NORMAL
2026-08-24 13:00:00,8,RED-08,Suburban North,Red Line,13,0,0,0,1500,33,60,0,6.47,34,36,37,NORMAL
2026-08-24 13:00:00,9,BLU-01,West Port,Blue Line,13,0,0,0,2000,78,63,0,6.25,81,85,89,NORMAL
2026-08-24 13:00:00,10,BLU-02,Maritime Dock,Blue Line,13,0,0,0,1800,45,69,0,6.46,47,49,51,NORMAL
2026-08-24 13:00:00,11,BLU-03,Central Terminal,Blue Line,13,0,0,0,3000,156,94,0,19.93,163,171,179,NORMAL
2026-08-24 13:00:00,12,BLU-04,Civic Center,Blue Line,13,0,0,0,2100,79,36,0,21.57,82,86,90,NORMAL
2026-08-24 13:00:00,13,BLU-05,University Square,Blue Line,13,0,0,0,2000,82,154,0,5.34,86,90,94,NORMAL
2026-08-24 13:00:00,14,BLU-06,Innovation Park,Blue Line,13,0,0,0,2400,48,54,8,4.67,50,52,55,NORMAL
2026-08-24 13:00:00,15,BLU-07,Stadium Arena,Blue Line,13,0,0,0,3500,50,71,0,2.99,52,55,57,NORMAL
2026-08-24 13:00:00,16,BLU-08,East terminus,Blue Line,13,0,0,0,1500,38,57,0,6.66,39,41,43,NORMAL
2026-08-24 13:15:00,1,RED-01,Central Terminal,Red Line,13,15,0,0,3000,149,135,0,4.47,156,163,171,NORMAL
2026-08-24 13:15:00,2,RED-02,Financial Plaza,Red Line,13,15,0,0,2500,54,53,0,3.67,56,59,62,NORMAL
2026-08-24 13:15:00,3,RED-03,Tech Hub North,Red Line,13,15,0,0,2200,53,65,0,3.68,55,58,60,NORMAL
2026-08-24 13:15:00,4,RED-04,University Square,Red Line,13,15,0,0,2000,127,145,0,5.93,133,139,146,NORMAL
2026-08-24 13:15:00,5,RED-05,Arts District,Red Line,13,15,0,0,1800,46,44,0,5.69,48,50,52,NORMAL
2026-08-24 13:15:00,6,RED-06,Medical Center,Red Line,13,15,0,0,2000,46,76,0,4.07,48,50,52,NORMAL
2026-08-24 13:15:00,7,RED-07,North Gate,Red Line,13,15,0,0,1600,44,66,3,7.36,46,48,50,NORMAL
2026-08-24 13:15:00,8,RED-08,Suburban North,Red Line,13,15,0,0,1500,73,36,0,24.54,76,80,83,NORMAL
2026-08-24 13:15:00,9,BLU-01,West Port,Blue Line,13,15,0,0,2000,48,79,0,4.6,50,52,55,NORMAL
2026-08-24 13:15:00,10,BLU-02,Maritime Dock,Blue Line,13,15,0,0,1800,50,31,12,9.72,52,55,57,NORMAL
2026-08-24 13:15:00,11,BLU-03,Central Terminal,Blue Line,13,15,0,0,3000,95,93,0,2.82,99,104,109,NORMAL
2026-08-24 13:15:00,12,BLU-04,Civic Center,Blue Line,13,15,0,0,2100,34,39,0,4.06,35,37,39,NORMAL
2026-08-24 13:15:00,13,BLU-05,University Square,Blue Line,13,15,0,0,2000,115,84,0,14.65,120,126,132,NORMAL
2026-08-24 13:15:00,14,BLU-06,Innovation Park,Blue Line,13,15,0,0,2400,62,76,0,3.81,65,68,71,NORMAL
2026-08-24 13:15:00,15,BLU-07,Stadium Arena,Blue Line,13,15,0,0,3500,38,37,0,2.47,39,41,43,NORMAL
2026-08-24 13:15:00,16,BLU-08,East terminus,Blue Line,13,15,0,0,1500,77,68,0,6.02,80,84,88,NORMAL
2026-08-24 13:30:00,1,RED-01,Central Terminal,Red Line,13,30,0,0,3000,110,149,0,3.53,115,121,126,NORMAL
2026-08-24 13:30:00,2,RED-02,Financial Plaza,Red Line,13,30,0,0,2500,44,39,0,3.73,46,48,50,NORMAL
2026-08-24 13:30:00,3,RED-03,Tech Hub North,Red Line,13,30,0,0,2200,83,30,0,24.06,87,91,95,NORMAL
2026-08-24 13:30:00,4,RED-04,University Square,Red Line,13,30,0,0,2000,92,119,0,4.77,96,101,105,NORMAL
2026-08-24 13:30:00,5,RED-05,Arts District,Red Line,13,30,0,0,1800,40,52,0,6.19,42,44,46,NORMAL
2026-08-24 13:30:00,6,RED-06,Medical Center,Red Line,13,30,0,0,2000,59,43,0,8.72,61,64,67,NORMAL
2026-08-24 13:30:00,7,RED-07,North Gate,Red Line,13,30,0,0,1600,106,13,0,53.89,111,116,121,NORMAL
2026-08-24 13:30:00,8,RED-08,Suburban North,Red Line,13,30,0,0,1500,64,65,0,5.89,67,70,73,NORMAL
2026-08-24 13:30:00,9,BLU-01,West Port,Blue Line,13,30,0,0,2000,29,62,0,4.24,30,31,33,NORMAL
2026-08-24 13:30:00,10,BLU-02,Maritime Dock,Blue Line,13,30,0,0,1800,37,38,0,5.93,38,40,42,NORMAL
2026-08-24 13:30:00,11,BLU-03,Central Terminal,Blue Line,13,30,0,0,3000,123,115,0,2.98,129,135,141,NORMAL
2026-08-24 13:30:00,12,BLU-04,Civic Center,Blue Line,13,30,0,0,2100,69,62,0,4.92,72,75,79,NORMAL
2026-08-24 13:30:00,13,BLU-05,University Square,Blue Line,13,30,0,0,2000,122,83,0,21.09,128,134,140,NORMAL
2026-08-24 13:30:00,14,BLU-06,Innovation Park,Blue Line,13,30,0,0,2400,52,30,0,7.85,54,57,59,NORMAL
2026-08-24 13:30:00,15,BLU-07,Stadium Arena,Blue Line,13,30,0,0,3500,43,52,0,2.46,45,47,49,NORMAL
2026-08-24 13:30:00,16,BLU-08,East terminus,Blue Line,13,30,0,0,1500,80,55,0,15.67,84,88,92,NORMAL
2026-08-24 13:45:00,1,RED-01,Central Terminal,Red Line,13,45,0,0,3000,129,99,0,11.09,135,141,148,NORMAL
2026-08-24 13:45:00,2,RED-02,Financial Plaza,Red Line,13,45,0,0,2500,58,59,0,3.8,60,63,66,NORMAL
