telemetry_id,station_id,assigned_route,current_inflow,corridor_delay_min,active_headway_min,operational_health_score,service_status
TEL-1000,1 Av,TRIP_RT_BER_000_0000000,3096,0.0,8,55.0,DEGRADED FLOW
TEL-1001,103 St,TRIP_RT_BER_000_0000001,1489,9.0,3,28.2,CRITICAL ACTION REQUIRED
TEL-1002,103 St - Corona Plaza,TRIP_RT_BER_000_0000002,3013,0.0,8,55.0,DEGRADED FLOW
TEL-1003,104 St,TRIP_RT_BER_000_0000003,229,6.0,3,56.9,DEGRADED FLOW
TEL-1004,110 St,TRIP_RT_BER_000_0000004,1741,0.0,8,68.7,DEGRADED FLOW
TEL-1005,111 St,TRIP_RT_BER_000_0000005,775,0.0,8,86.0,NORMAL
TEL-1006,116 St,TRIP_RT_BER_000_0000006,1599,0.0,8,71.2,DEGRADED FLOW
TEL-1007,116 St - Columbia University,TRIP_RT_BER_000_0000007,2195,0.0,8,60.5,DEGRADED FLOW
TEL-1008,125 St,TRIP_RT_BER_000_0000008,2144,0.0,8,61.4,DEGRADED FLOW
TEL-1009,135 St,TRIP_RT_BER_000_0000009,1455,0.0,8,73.8,DEGRADED FLOW
TEL-1010,137 St - City College,TRIP_RT_BER_000_0000000,2069,0.0,8,62.8,DEGRADED FLOW
TEL-1011,138 St - Grand Concourse,TRIP_RT_BER_000_0000001,443,9.0,3,47.0,CRITICAL ACTION REQUIRED
TEL-1012,14 St,TRIP_RT_BER_000_0000002,2571,0.0,8,55.0,DEGRADED FLOW
TEL-1013,14 St - Union Sq,TRIP_RT_BER_000_0000003,3721,6.0,3,16.0,CRITICAL ACTION REQUIRED
TEL-1014,145 St,TRIP_RT_BER_000_0000004,1900,0.0,8,65.8,DEGRADED FLOW
